product,date,price_brl_box_40_8kg,daily_change_percent,monthly_change_percent,five_day_average_brl,source,license,url
INDUSTRIAL_ORANGE,2026-08-06,31.08,0.48,1.67,30.92,CEPEA/ESALQ-USP,CC BY-NC 4.0,https://www.cepea.org.br/br/indicador/citros.aspx
INDUSTRIAL_ORANGE,2026-08-05,30.93,-0.23,1.18,30.81,CEPEA/ESALQ-USP,CC BY-NC 4.0,https://www.cepea.org.br/br/indicador/citros.aspx
INDUSTRIAL_ORANGE,2026-08-04,31.00,0.00,1.41,30.76,CEPEA/ESALQ-USP,CC BY-NC 4.0,https://www.cepea.org.br/br/indicador/citros.aspx
INDUSTRIAL_ORANGE,2026-08-03,31.00,1.41,1.41,30.70,CEPEA/ESALQ-USP,CC BY-NC 4.0,https://www.cepea.org.br/br/indicador/citros.aspx
INDUSTRIAL_ORANGE,2026-07-31,30.57,0.00,-0.20,30.63,CEPEA/ESALQ-USP,CC BY-NC 4.0,https://www.cepea.org.br/br/indicador/citros.aspx
FRESH_ORANGE,2026-08-06,31.67,0.92,-4.00,31.92,CEPEA/ESALQ-USP,CC BY-NC 4.0,https://www.cepea.org.br/br/indicador/citros.aspx
FRESH_ORANGE,2026-08-05,31.38,0.26,-4.88,32.32,CEPEA/ESALQ-USP,CC BY-NC 4.0,https://www.cepea.org.br/br/indicador/citros.aspx
FRESH_ORANGE,2026-08-04,31.30,-2.95,-5.12,32.60,CEPEA/ESALQ-USP,CC BY-NC 4.0,https://www.cepea.org.br/br/indicador/citros.aspx
FRESH_ORANGE,2026-08-03,32.25,-2.24,-2.24,32.76,CEPEA/ESALQ-USP,CC BY-NC 4.0,https://www.cepea.org.br/br/indicador/citros.aspx
FRESH_ORANGE,2026-07-31,32.99,-2.05,-4.43,32.26,CEPEA/ESALQ-USP,CC BY-NC 4.0,https://www.cepea.org.br/br/indicador/citros.aspx
EARLY_INDUSTRIAL_ORANGE,2026-08-06,24.71,-0.28,2.53,,CEPEA/ESALQ-USP,CC BY-NC 4.0,https://www.cepea.org.br/br/indicador/citros.aspx
EARLY_INDUSTRIAL_ORANGE,2026-08-05,24.78,0.90,2.82,,CEPEA/ESALQ-USP,CC BY-NC 4.0,https://www.cepea.org.br/br/indicador/citros.aspx
EARLY_INDUSTRIAL_ORANGE,2026-08-04,24.56,0.00,1.91,,CEPEA/ESALQ-USP,CC BY-NC 4.0,https://www.cepea.org.br/br/indicador/citros.aspx
EARLY_INDUSTRIAL_ORANGE,2026-08-03,24.56,1.91,1.91,,CEPEA/ESALQ-USP,CC BY-NC 4.0,https://www.cepea.org.br/br/indicador/citros.aspx
EARLY_INDUSTRIAL_ORANGE,2026-07-31,24.10,-2.74,-8.47,,CEPEA/ESALQ-USP,CC BY-NC 4.0,https://www.cepea.org.br/br/indicador/citros.aspx
